"8:00 - 8:20","回校，学生到达学校，准备上课"
"8:20 - 8:50","大课间，学生进行户外活动或自由休息"
"8:50 - 8:55","第一节课前准备，学生上厕所、喝水，准备上课"
"8:55 - 9:35","第一节课，学生开始上午的正式课程"
"9:35 - 9:45",第一节课后休息，学生上厕所、喝水，准备下一节课"
"9:45 - 10:25","第二节课，继续上午的学习"
"10:25 - 10:30","第二节课后休息，学生进行眼保健操，放松眼部"
"10:30 - 10:40","第三节课前准备，学生上厕所、喝水，准备上课"
"10:40 - 11:20","第三节课，继续学习"
"11:20 - 11:30","第三节课后休息，学生上厕所、喝水，准备下一节课"
"11:30 - 12:10","第四节课，完成上午的课程"
"12:10 - 12:20","中午放学，学生结束上午的课程并离校"
"12:10 - 12:40","午餐时间，学生用餐"
"12:40 - 12:45","午餐后休息，学生可以放松身心"
"12:45 - 14:00","午休，学生进行休息或自习"
"14:00 - 14:15","下午回校，学生返回学校，准备下午的课程"
"14:15 - 14:25","校园广播，学生听取通知或信息"
"14:25 - 14:30","下午第一节课前准备，学生上厕所、喝水，准备上课"
"14:30 - 15:10","第五节课，开始下午的课程"
"15:10 - 15:20","第五节课后休息，学生上厕所、喝水，准备下一节课"
"15:20 - 16:00","第六节课，一、二年级周四、周五设有托管班"
"16:00 - 18:30","托管时间，特色托管班提供给学生额外的学习和活动机会"
"18:30 - 22:00","完成家课"
"22:00 - 24:00","休息"
"24:00 - 6:00","休息"