"星期一,11:30-12:10,上午第4节～一(4)科学"
"星期一,14:30-15:10,下午第5节～一(3)数学"
"星期一,17:00-17:40,洪林华托管"
"星期二,9:45-10:25,上午第2节～一(4)数学"
"星期二,10:40-11:20,上午第3节～一(3)科学"
"星期二,11:30-12:10,上午第4节～一(2)数学"
"星期二,14:00-14:15,一1班～早读～午餐～午休值班～维持班内纪律"
"星期二,15:20-16:00,下午第6节～一(1)数学"
"星期三,8:00-17:10,数学组集体教研～备好课～准备好课件和资料"
"星期三,8:55-9:35,上午第1节～一(4)数学"
"星期三,9:45-10:25,上午第2节～一(3)数学"
"星期三,14:30-15:10,下午第5节～一(2)数学"
"星期三,15:20-16:00,下午第6节～一(1)科学"
"星期四,9:45-10:25,上午第2节～一(1)数学"
"星期四,10:40-11:20,上午第3节～一(2)数学"
"星期四,14:00-14:15,一1班～午休～午餐～值班～维持班内纪律"
"星期五,7:55-17:10,风雨球场人口值日～负责安排好提前到校学生的队伍和纪律指引学生安全有序进风雨球场"
"星期五,8:55-9:35,上午第1节～一(3)数学"
"星期五,9:45-10:25,上午第2节～一(1)数学"
"星期五,11:30-12:10,上午第4节～一(4)数学"
"星期五,14:00-14:15,一1班早读～午休～午餐～值班"
"星期五,14:30-15:10,下午第5节～一(2)科学"
"星期日,10:30-23:10,认真备课"
"星期二,8:00-17:10,教师会议"