"星期一,8:55-9:35,校/班(队)会"
"星期一,9:45-10:25,语文"
"星期一,10:40-11:20,英语口语"
"星期一,11:30-12:10,体育与健康1"
"星期一,14:30-15:10,数学"
"星期一,15:20-16:00,劳动"
"星期二,8:55-9:35,语文"
"星期二,9:45-10:25,语文"
"星期二,10:40-11:20,科学"
"星期二,11:30-12:10,美术"
"星期二,14:30-15:10,英语口语"
"星期二,15:20-16:00,体育与健康1"
"星期三,8:55-9:35,体育与健康1"
"星期三,9:45-10:25,数学"
"星期三,10:40-11:20,语文"
"星期三,11:30-12:10,道法"
"星期三,14:30-15:10,美术"
"星期三,15:20-16:00,心理"
"星期四,8:55-9:35,语文"
"星期四,9:45-10:25,语文"
"星期四,10:40-11:20,音乐"
"星期四,11:30-12:10,综合"
"星期四,14:30-15:10,体育与健康1"
"星期四,15:20-16:00,(无课程)"
"星期五,8:55-9:35,数学"
"星期五,9:45-10:25,语文"
"星期五,10:40-11:20,语文"
"星期五,11:30-12:10,音乐"
"星期五,14:30-15:10,道法"
"星期五,15:20-16:00,(无课程)"